age,salary,experience_years,education_level,department,city_tier,work_hours_per_week,performance_score,promotion_last_5years,target_left_company
64,129397.0,30,Bachelor,Operations,Tier-3,43,4.8,1,1
52,37771.0,6,Bachelor,Finance,Tier-2,47,2.1,0,1
57,49975.0,35,Master,Marketing,Tier-3,57,2.3,0,0
33,65648.0,19,Bachelor,Operations,Tier-3,58,3.8,0,1
30,84772.0,3,PhD,Operations,Tier-3,45,4.1,1,0
59,68285.0,6,High School,HR,Tier-3,64,4.7,1,0
47,84772.0,0,Master,Marketing,Tier-3,60,1.8,0,1
36,87642.0,12,Bachelor,IT,Tier-1,33,4.2,0,0
34,84772.0,21,Master,Finance,Tier-1,66,2.9703157894736845,1,0
36,134390.0,20,High School,HR,Tier-1,46,1.3,1,1
45,106143.0,21,Bachelor,Finance,Tier-2,68,2.9703157894736845,0,0
43,57599.0,27,Master,IT,Tier-3,55,2.1,0,0
54,71920.0,8,High School,IT,Tier-1,68,2.2,0,1
43,48529.0,25,PhD,Operations,Tier-2,33,4.9,0,1
40,55954.0,8,PhD,IT,Tier-1,59,3.6,1,1
26,47856.0,14,High School,Finance,Tier-1,59,3.9,1,1
29,22573.0,9,Master,Marketing,Tier-3,51,4.9,0,1
18,98344.0,23,Bachelor,Marketing,Tier-2,40,2.5,0,1
18,55367.0,7,Master,Operations,Tier-3,31,4.2,0,1
64,122337.0,23,High School,Finance,Tier-3,41,2.7,1,0
51,126732.0,15,Master,Finance,Tier-1,59,4.5,0,0
49,119608.0,25,PhD,IT,Tier-3,65,1.7,0,1
42,80774.0,26,Master,Finance,Tier-2,47,4.8,0,0
57,43752.0,36,High School,HR,Tier-3,55,1.9,1,0
62,75029.0,3,PhD,IT,Tier-3,36,2.3,0,1
18,37685.0,23,Master,HR,Tier-3,30,4.0,1,0
33,71693.0,18,Master,Operations,Tier-1,55,2.6,0,1
56,136739.0,35,PhD,Marketing,Tier-2,52,3.4,0,0
22,75961.0,38,Bachelor,Operations,Tier-1,55,2.8,0,1
39,126937.0,9,PhD,Marketing,Tier-1,35,2.9703157894736845,1,0
46,144956.0,24,Bachelor,Operations,Tier-1,35,1.9,0,0
20,96908.0,17,High School,Finance,Tier-1,37,1.2,0,0
29,145537.0,18,High School,HR,Tier-1,53,2.2,1,1
43,84772.0,35,PhD,Marketing,Tier-2,51,2.9,1,0
33,94532.0,9,PhD,IT,Tier-3,48,1.7,1,0
54,101994.0,32,High School,HR,Tier-1,66,2.4,0,1
39,76133.0,4,Bachelor,IT,Tier-1,47,2.6,1,1
46,117425.0,34,High School,HR,Tier-2,60,1.2,0,0
31,145055.0,33,PhD,HR,Tier-2,66,3.3,1,0
45,81268.0,32,High School,Operations,Tier-3,59,4.5,1,0
22,112201.0,20,PhD,Marketing,Tier-2,62,2.9703157894736845,1,0
64,58243.0,16,PhD,Marketing,Tier-3,39,3.4,0,1
47,77384.0,21,High School,HR,Tier-1,66,3.7,0,0
63,51653.0,36,Bachelor,Finance,Tier-1,41,2.7,0,0
22,46657.0,14,Master,Finance,Tier-3,59,3.8,0,1
29,59952.0,34,High School,IT,Tier-2,56,2.6,0,0
33,42180.0,27,Master,IT,Tier-3,68,2.9703157894736845,0,0
43,117432.0,6,High School,Operations,Tier-2,38,1.0,0,0
43,141829.0,31,Master,HR,Tier-1,50,3.8,0,1
38,148377.0,10,Bachelor,IT,Tier-2,41,3.6,0,1
56,98411.0,9,Bachelor,IT,Tier-3,58,1.2,1,0
53,21622.0,8,High School,HR,Tier-3,62,2.5,1,0
50,68756.0,13,PhD,Operations,Tier-1,44,4.9,0,1
47,84772.0,12,Master,IT,Tier-2,31,2.7,0,0
54,84772.0,24,PhD,Operations,Tier-2,68,3.0,0,0
40,81396.0,1,PhD,Marketing,Tier-2,47,2.9703157894736845,0,1
27,71226.0,34,PhD,Operations,Tier-1,32,3.9,1,1
22,84772.0,6,Bachelor,Finance,Tier-2,36,3.3,1,1
53,101182.0,20,High School,Finance,Tier-3,47,4.2,0,0
51,102565.0,17,High School,Operations,Tier-2,67,4.5,1,0
48,49402.0,2,Bachelor,Finance,Tier-1,66,2.8,1,0
27,24263.0,38,Bachelor,Marketing,Tier-2,62,2.9,0,0
36,143489.0,10,High School,HR,Tier-2,60,2.5,0,1
49,116523.0,38,PhD,Finance,Tier-3,40,4.9,0,0
18,66828.0,23,Master,Finance,Tier-2,33,3.8,0,0
22,140824.0,18,Master,Operations,Tier-3,47,1.3,1,1
62,67924.0,3,Master,Marketing,Tier-3,33,4.5,0,1
21,94182.0,25,PhD,HR,Tier-1,63,2.9,1,0
33,113065.0,37,High School,Operations,Tier-3,58,1.3,0,1
41,79052.0,31,Bachelor,Operations,Tier-3,53,3.2,1,1
33,31664.0,38,High School,Marketing,Tier-1,51,2.7,0,0
19,55737.0,35,PhD,HR,Tier-3,31,4.5,0,0
45,121332.0,39,Bachelor,Marketing,Tier-1,35,1.8,1,0
49,109563.0,36,PhD,HR,Tier-2,54,4.3,1,0
44,49373.0,32,Master,Marketing,Tier-1,50,3.2,1,1
37,137369.0,35,Master,Operations,Tier-3,45,1.2,0,1
41,56397.0,2,PhD,Operations,Tier-1,60,4.9,1,0
29,148575.0,8,Bachelor,IT,Tier-3,43,3.1,1,0
52,106145.0,7,Bachelor,Finance,Tier-2,68,2.2,1,1
50,121371.0,32,High School,Marketing,Tier-1,57,2.9,1,0
50,58709.0,5,Master,IT,Tier-2,61,4.4,1,0
60,136074.0,38,High School,Finance,Tier-3,57,2.9703157894736845,1,0
54,81120.0,3,High School,Marketing,Tier-3,38,1.8,1,0
29,39250.0,12,PhD,HR,Tier-2,51,1.5,1,1
20,41172.0,1,PhD,Finance,Tier-1,61,2.2,1,0
18,31555.0,4,High School,Operations,Tier-1,34,4.1,0,1
50,107410.0,26,Master,IT,Tier-3,52,2.9,0,0
57,98617.0,31,High School,Finance,Tier-2,34,1.9,1,0
27,73276.0,20,High School,Finance,Tier-2,61,1.7,0,1
60,77492.0,7,High School,Operations,Tier-1,39,2.3,0,0
61,73002.0,37,High School,Marketing,Tier-1,68,4.8,1,1
46,140103.0,7,High School,HR,Tier-1,44,2.4,1,0
30,144938.0,2,High School,Operations,Tier-2,36,5.0,1,0
29,109599.0,2,High School,HR,Tier-1,58,2.9,1,0
48,92355.0,21,PhD,Marketing,Tier-1,32,1.7,1,0
63,111248.0,5,Master,Finance,Tier-3,48,4.6,1,0
19,44762.0,1,High School,HR,Tier-1,39,2.9703157894736845,0,1
52,31046.0,22,Bachelor,IT,Tier-1,57,3.8,1,1
40,116999.0,1,PhD,IT,Tier-2,58,4.9,0,0
34,144130.0,37,PhD,Operations,Tier-2,44,1.2,1,0
43,136021.0,16,High School,Marketing,Tier-3,64,1.4,1,1
25,48769.0,34,PhD,Operations,Tier-1,35,3.9,0,1
46,73302.0,33,High School,Operations,Tier-3,41,2.1,1,0
43,43150.0,22,High School,Operations,Tier-2,67,1.7,1,0
27,88247.0,29,Master,IT,Tier-3,42,1.2,0,1
43,24853.0,7,PhD,IT,Tier-2,58,1.1,1,0
51,114613.0,21,PhD,Operations,Tier-3,48,4.1,0,1
58,140900.0,35,Bachelor,IT,Tier-3,32,1.5,1,0
24,109399.0,4,PhD,Marketing,Tier-1,37,2.9,1,1
21,41792.0,12,Bachelor,Operations,Tier-3,37,3.4,0,1
62,79129.0,28,Master,IT,Tier-1,49,2.7,1,0
28,126019.0,30,Master,HR,Tier-1,33,1.1,0,1
46,94478.0,15,High School,Operations,Tier-1,50,4.1,0,0
53,133811.0,29,Master,Operations,Tier-1,32,1.0,0,0
42,134130.0,15,Bachelor,Marketing,Tier-3,37,4.0,1,0
38,87298.0,11,PhD,Finance,Tier-2,52,4.6,1,0
53,51987.0,16,High School,Finance,Tier-2,45,2.7,0,1
27,35850.0,15,Bachelor,Marketing,Tier-2,42,3.1,1,0
54,32112.0,11,PhD,Marketing,Tier-3,32,2.9,1,0
26,141789.0,7,High School,Marketing,Tier-1,38,2.6,1,0
41,44058.0,19,Master,Finance,Tier-2,43,4.5,0,0
52,65420.0,2,Bachelor,Marketing,Tier-3,42,4.6,1,1
52,58890.0,15,PhD,IT,Tier-1,36,2.3,0,0
53,86017.0,29,High School,Operations,Tier-2,44,3.5,1,1
35,67304.0,22,High School,Operations,Tier-1,36,4.7,1,1
56,52921.0,27,High School,HR,Tier-2,67,4.8,0,1
49,125921.0,39,PhD,HR,Tier-2,63,3.0,1,0
41,21524.0,4,Master,Operations,Tier-2,51,2.8,0,0
40,120424.0,19,Master,IT,Tier-1,53,2.1,1,0
49,35048.0,39,PhD,Finance,Tier-3,66,4.8,0,0
54,55111.0,0,PhD,Finance,Tier-1,30,1.6,1,1
29,57904.0,29,PhD,IT,Tier-2,39,2.9703157894736845,1,1
30,74912.0,20,Bachelor,Finance,Tier-1,45,2.1,1,0
40,54008.0,19,PhD,Marketing,Tier-3,37,2.1,0,0
42,20060.0,5,High School,Operations,Tier-1,54,2.6,0,0
52,94666.0,21,High School,Operations,Tier-3,41,5.0,0,0
58,103559.0,17,High School,IT,Tier-3,54,1.2,1,0
47,75337.0,7,PhD,Finance,Tier-1,46,2.9703157894736845,0,0
34,130616.0,38,Bachelor,HR,Tier-2,55,1.3,0,0
37,33350.0,31,PhD,HR,Tier-3,43,1.6,0,1
42,44354.0,32,Bachelor,Finance,Tier-1,65,2.9703157894736845,0,1
39,65186.0,15,Master,HR,Tier-3,52,3.0,0,1
30,48145.0,11,Master,IT,Tier-2,35,2.0,0,1
36,54020.0,37,High School,IT,Tier-1,34,2.3,0,0
53,84772.0,33,High School,Finance,Tier-1,54,1.3,0,0
29,126667.0,13,PhD,HR,Tier-1,47,2.2,0,0
58,95186.0,35,Master,IT,Tier-2,42,4.9,0,0
36,105469.0,32,Bachelor,IT,Tier-3,43,4.8,1,0
29,40581.0,22,Bachelor,Marketing,Tier-1,57,2.3,1,1
26,108929.0,1,Bachelor,Marketing,Tier-3,47,3.3,0,0
24,43051.0,20,High School,IT,Tier-3,57,4.6,1,1
45,71474.0,1,Bachelor,Finance,Tier-2,56,1.0,1,0
31,111748.0,26,High School,Operations,Tier-1,61,4.2,0,1
48,145995.0,8,High School,Operations,Tier-3,38,4.8,0,0
36,134618.0,0,PhD,IT,Tier-1,69,1.4,0,1
64,89626.0,10,Bachelor,IT,Tier-1,61,1.6,1,0
33,26960.0,2,High School,IT,Tier-2,49,4.8,0,0
22,55772.0,22,High School,Finance,Tier-1,57,3.2,1,0
52,41520.0,25,PhD,Marketing,Tier-1,62,1.1,0,0
29,69481.0,3,Master,IT,Tier-3,33,2.0,1,1
42,56408.0,17,PhD,IT,Tier-2,63,2.8,1,0
38,114006.0,5,Bachelor,HR,Tier-1,32,3.8,0,1
53,148496.0,34,High School,Finance,Tier-3,55,3.9,0,0
40,77134.0,21,High School,IT,Tier-2,37,5.0,1,1
33,40491.0,14,High School,HR,Tier-2,35,2.2,1,0
56,21341.0,21,High School,Operations,Tier-3,45,3.2,0,0
62,64623.0,36,High School,IT,Tier-3,53,3.1,0,1
59,110327.0,11,Master,IT,Tier-3,68,2.6,1,0
56,20338.0,37,PhD,HR,Tier-3,59,1.7,0,0
31,91431.0,17,Bachelor,Finance,Tier-3,42,2.9703157894736845,1,1
48,32254.0,34,High School,IT,Tier-1,34,2.9703157894736845,0,0
22,71860.0,29,PhD,Operations,Tier-1,54,3.0,0,1
52,31344.0,23,High School,IT,Tier-2,49,3.4,0,0
40,21750.0,29,PhD,Operations,Tier-1,47,1.9,1,1
46,74756.0,13,High School,Marketing,Tier-1,47,3.2,0,1
60,87957.0,5,High School,Marketing,Tier-1,31,3.8,1,1
28,125423.0,2,High School,Operations,Tier-3,39,3.1,0,1
35,78053.0,15,High School,Finance,Tier-2,41,5.0,1,0
64,90855.0,6,Bachelor,IT,Tier-2,42,2.9703157894736845,1,0
29,35896.0,13,High School,IT,Tier-2,40,2.5,0,1
26,75761.0,8,Bachelor,Marketing,Tier-2,48,4.1,1,0
27,82552.0,14,High School,Operations,Tier-1,64,1.7,1,0
61,140075.0,20,High School,IT,Tier-1,68,2.5,1,0
34,97454.0,34,PhD,IT,Tier-3,55,2.4,1,1
55,146522.0,1,High School,Finance,Tier-2,43,2.7,0,0
24,138681.0,26,PhD,HR,Tier-1,53,4.1,0,0
63,110600.0,1,High School,Marketing,Tier-1,30,2.9,0,1
30,142732.0,34,High School,Marketing,Tier-3,51,4.2,1,0
57,132153.0,17,Bachelor,HR,Tier-3,52,3.3,1,1
59,142926.0,13,Master,IT,Tier-3,48,2.4,0,1
26,47935.0,19,High School,Finance,Tier-1,47,4.2,0,1
44,57641.0,17,High School,Finance,Tier-1,41,2.0,1,0
19,49711.0,9,High School,Marketing,Tier-3,57,1.9,0,0
22,90342.0,24,PhD,Finance,Tier-2,57,3.0,0,1
46,126896.0,1,Bachelor,HR,Tier-3,62,2.0,1,1
54,32182.0,24,Bachelor,IT,Tier-3,48,1.0,0,1
55,107833.0,32,Master,HR,Tier-3,57,3.6,1,1
36,76276.0,35,Bachelor,Operations,Tier-3,66,3.0,0,1
25,39541.0,30,Bachelor,Marketing,Tier-1,55,2.8,1,1
62,114457.0,13,High School,Finance,Tier-2,64,4.9,1,0
18,102310.0,0,High School,Operations,Tier-3,63,3.3,1,1
39,64813.0,15,PhD,Finance,Tier-2,64,4.5,1,1
34,57198.0,2,High School,IT,Tier-2,69,1.6,1,1
24,28820.0,34,High School,IT,Tier-2,45,3.3,0,0
42,44070.0,5,High School,IT,Tier-3,67,2.9703157894736845,0,0
62,89768.0,24,High School,Finance,Tier-1,42,3.3,0,0
21,31122.0,12,High School,Operations,Tier-3,52,3.9,1,0
53,100559.0,33,High School,IT,Tier-2,51,2.5,0,1
23,93543.0,7,Master,Operations,Tier-2,45,1.4,1,0
48,103441.0,20,Master,Finance,Tier-1,57,2.8,1,1
36,61786.0,33,Master,Operations,Tier-3,64,2.6,0,1
61,84772.0,3,Master,Finance,Tier-2,37,4.5,1,1
56,119804.0,24,High School,Finance,Tier-1,51,2.0,0,1
44,26737.0,14,Master,Marketing,Tier-2,50,4.9,1,1
27,56062.0,3,High School,Finance,Tier-1,55,4.8,1,1
43,74237.0,11,PhD,Finance,Tier-1,69,2.0,0,0
36,71571.0,31,Master,HR,Tier-3,50,2.4,1,0
56,45510.0,31,Bachelor,IT,Tier-2,54,4.6,0,0
20,39426.0,27,Master,Marketing,Tier-3,30,2.9703157894736845,1,0
62,57265.0,12,Master,Marketing,Tier-2,35,2.8,0,0
30,37850.0,30,High School,Marketing,Tier-3,52,2.3,1,1
45,138249.0,13,Master,HR,Tier-2,52,3.1,0,0
37,86150.0,19,Bachelor,Finance,Tier-3,52,3.8,0,0
45,107312.0,17,High School,IT,Tier-1,61,2.9703157894736845,1,0
25,109613.0,28,High School,Operations,Tier-2,59,3.9,0,1
58,94910.0,5,PhD,Finance,Tier-2,42,1.2,1,1
56,72375.0,31,PhD,HR,Tier-1,47,1.2,1,1
18,141826.0,28,Master,Finance,Tier-3,52,2.5,0,0
20,55435.0,1,PhD,Finance,Tier-2,44,2.4,0,0
30,116443.0,22,PhD,HR,Tier-2,62,2.3,0,0
45,77132.0,18,PhD,Marketing,Tier-3,50,3.0,0,0
42,98945.0,30,High School,Marketing,Tier-1,68,2.3,0,0
50,102050.0,4,High School,IT,Tier-3,52,1.8,1,1
55,149828.0,18,High School,IT,Tier-3,56,2.2,0,0
23,84772.0,33,PhD,Marketing,Tier-3,47,4.9,1,1
61,22983.0,9,High School,Operations,Tier-2,53,2.6,0,0
62,117241.0,24,PhD,Finance,Tier-1,69,2.8,0,1
49,40662.0,1,High School,Operations,Tier-1,36,3.3,0,1
62,43510.0,10,High School,Finance,Tier-3,49,4.9,1,1
64,98187.0,30,Bachelor,Marketing,Tier-2,56,2.0,0,1
38,84772.0,14,Master,IT,Tier-3,35,3.7,1,0
33,76846.0,8,PhD,IT,Tier-2,56,3.9,1,0
38,114071.0,22,Bachelor,Operations,Tier-2,38,3.4,1,0
28,26640.0,18,High School,IT,Tier-2,60,1.4,0,1
54,64547.0,8,PhD,Marketing,Tier-2,50,2.9703157894736845,1,0
53,74620.0,34,High School,Operations,Tier-1,55,1.3,0,0
52,35317.0,20,Master,Finance,Tier-2,69,3.4,1,0
36,135608.0,8,Bachelor,IT,Tier-2,42,4.0,0,0
37,27564.0,27,Master,HR,Tier-3,52,1.8,1,1
35,47345.0,6,Bachelor,IT,Tier-3,49,4.4,0,1
64,133824.0,15,High School,Finance,Tier-1,66,1.1,0,0
58,114223.0,15,Master,Operations,Tier-3,57,4.4,0,0
31,143372.0,32,Master,Finance,Tier-2,46,2.8,1,0
32,99273.0,3,High School,HR,Tier-3,57,1.9,1,1
48,94859.0,3,Master,Marketing,Tier-1,31,1.5,0,1
18,100765.0,38,PhD,IT,Tier-3,54,4.8,1,1
20,130017.0,39,Bachelor,Operations,Tier-3,35,1.3,1,0
33,94038.0,16,Bachelor,Marketing,Tier-1,40,1.8,1,1
40,143618.0,36,Bachelor,Finance,Tier-1,67,2.4,1,1
28,72393.0,38,PhD,Operations,Tier-2,35,3.5,1,1
29,86081.0,28,Bachelor,Marketing,Tier-3,40,3.2,1,1
27,145341.0,35,High School,Operations,Tier-2,43,1.5,1,1
49,122650.0,37,Master,HR,Tier-3,31,2.2,0,0
33,49430.0,38,PhD,HR,Tier-3,69,2.0,0,0
25,95532.0,36,Bachelor,IT,Tier-2,32,2.9703157894736845,1,0
55,47788.0,34,High School,IT,Tier-3,64,2.6,0,0
29,115505.0,6,Master,HR,Tier-3,62,3.8,0,1
41,68543.0,26,Master,Operations,Tier-3,53,1.9,0,0
45,33919.0,27,PhD,HR,Tier-1,48,2.5,1,0
25,89346.0,21,PhD,IT,Tier-2,47,2.6,1,0
45,116122.0,13,PhD,HR,Tier-1,53,4.9,1,1
53,59974.0,6,High School,HR,Tier-2,64,4.8,1,0
43,127309.0,36,High School,Operations,Tier-2,30,4.2,1,1
25,36371.0,21,PhD,Marketing,Tier-3,65,2.0,0,1
45,84772.0,4,Bachelor,IT,Tier-2,54,1.3,1,1
45,49629.0,1,Master,Operations,Tier-1,63,2.3,0,0
54,71184.0,26,Master,HR,Tier-1,54,2.1,1,1
58,81916.0,20,High School,HR,Tier-1,45,3.0,0,0
53,147293.0,37,Master,Marketing,Tier-2,63,4.1,1,0
44,93972.0,14,Bachelor,IT,Tier-1,58,4.4,1,0
34,82187.0,20,Master,IT,Tier-2,48,4.4,1,1
26,32984.0,9,High School,Finance,Tier-1,52,2.4,1,1
50,53039.0,22,High School,IT,Tier-1,48,3.7,1,0
37,105431.0,38,Bachelor,Marketing,Tier-2,54,2.3,1,1
30,103691.0,4,Bachelor,Finance,Tier-1,45,1.2,0,1
45,78606.0,0,Master,Finance,Tier-3,38,3.8,1,1
46,30616.0,12,Master,HR,Tier-2,30,1.0,0,0
30,122665.0,20,High School,HR,Tier-2,48,2.6,1,1
63,125373.0,25,Bachelor,IT,Tier-2,62,2.3,0,1
52,70072.0,20,Bachelor,Finance,Tier-3,63,3.8,0,0
23,44574.0,17,Bachelor,HR,Tier-2,45,4.1,0,1
35,23430.0,36,Master,Marketing,Tier-1,69,2.2,0,0
22,139123.0,31,Bachelor,HR,Tier-1,47,4.2,0,1
64,32676.0,35,High School,HR,Tier-1,63,2.2,0,1
42,30816.0,16,High School,Finance,Tier-2,54,2.8,1,1
19,52733.0,34,Master,Finance,Tier-1,35,3.9,0,1
27,105680.0,10,PhD,Operations,Tier-2,50,3.8,1,1
47,22050.0,20,Master,Marketing,Tier-1,35,4.9,1,1
62,129996.0,25,PhD,Finance,Tier-3,61,1.9,0,0
22,53933.0,3,Bachelor,IT,Tier-3,68,3.6,0,1
50,44951.0,33,Master,Marketing,Tier-3,60,3.4,1,1
18,52413.0,17,High School,Marketing,Tier-3,39,4.7,0,1
35,54801.0,39,Bachelor,Finance,Tier-2,59,1.6,0,0
49,75619.0,34,High School,Marketing,Tier-1,47,4.0,0,0
64,52913.0,28,Bachelor,Finance,Tier-3,53,3.3,0,0
28,132573.0,28,Master,HR,Tier-2,38,2.1,0,1
38,139076.0,37,PhD,Operations,Tier-3,60,2.9,0,1
43,60600.0,20,Bachelor,HR,Tier-3,44,2.3,0,0
42,77775.0,12,High School,Finance,Tier-2,33,3.3,1,0
39,84772.0,16,Bachelor,Finance,Tier-2,69,4.6,0,0
44,149972.0,8,High School,HR,Tier-1,38,3.3,1,1
30,110093.0,0,High School,IT,Tier-1,38,3.5,1,0
50,132590.0,1,Bachelor,IT,Tier-3,55,3.1,1,1
51,55400.0,28,PhD,IT,Tier-3,33,1.2,1,1
58,24494.0,32,Master,Finance,Tier-1,46,1.9,0,1
52,100688.0,9,Master,Marketing,Tier-1,45,3.0,1,0
18,142744.0,39,High School,Finance,Tier-2,44,2.2,1,1
38,109431.0,20,Master,Marketing,Tier-1,64,1.7,1,0
23,94691.0,27,High School,HR,Tier-1,34,3.0,1,0
45,117419.0,10,Master,Operations,Tier-3,34,2.3,1,0
34,128730.0,33,Bachelor,Marketing,Tier-1,49,2.0,0,0
22,63001.0,7,High School,IT,Tier-3,44,2.9,0,1
48,87364.0,21,High School,Finance,Tier-1,47,1.5,1,1
22,144988.0,7,High School,HR,Tier-2,31,4.7,0,1
55,65028.0,14,High School,IT,Tier-1,58,4.5,0,1
20,127434.0,16,Master,HR,Tier-1,42,3.8,1,0
40,117659.0,22,Master,Operations,Tier-1,33,1.4,1,0
54,57573.0,23,High School,Finance,Tier-3,39,4.1,1,0
54,20806.0,18,Master,Finance,Tier-2,60,4.2,0,0
27,144343.0,4,PhD,Operations,Tier-1,37,4.1,1,1
27,76638.0,31,High School,Finance,Tier-3,32,1.5,0,0
36,148301.0,0,Bachelor,Marketing,Tier-2,38,3.6,0,1
34,146295.0,22,PhD,HR,Tier-3,59,4.3,0,0
38,126506.0,36,High School,IT,Tier-3,40,3.3,1,0
31,49757.0,7,Bachelor,Operations,Tier-2,64,3.6,0,0
26,54636.0,12,Master,Marketing,Tier-1,66,2.8,1,0
63,100097.0,7,Bachelor,IT,Tier-3,42,3.1,1,1
18,68280.0,22,PhD,IT,Tier-3,65,1.1,1,1
62,44262.0,0,Master,Operations,Tier-1,42,3.6,1,1
30,100435.0,23,High School,Marketing,Tier-1,41,1.3,1,1
21,82211.0,34,Master,IT,Tier-2,66,2.7,0,0
18,74842.0,23,High School,IT,Tier-2,39,2.2,0,0
57,148583.0,16,High School,Marketing,Tier-2,38,3.2,0,1
49,76979.0,4,Bachelor,Finance,Tier-1,36,1.5,0,1
51,134524.0,19,Bachelor,IT,Tier-3,31,3.8,0,0
45,101470.0,20,Bachelor,HR,Tier-3,52,4.2,1,0
48,58197.0,39,PhD,Marketing,Tier-2,68,1.7,1,1
25,61844.0,30,PhD,IT,Tier-1,69,1.4,0,1
56,84754.0,35,Bachelor,Operations,Tier-3,68,1.6,0,1
43,121868.0,10,PhD,HR,Tier-2,50,4.5,0,0
51,54157.0,14,High School,IT,Tier-3,52,3.1,1,1
20,97129.0,18,Master,HR,Tier-3,58,2.9,1,1
29,60042.0,6,PhD,HR,Tier-1,43,1.4,1,1
18,81665.0,27,PhD,Finance,Tier-1,55,3.6,0,1
61,135512.0,4,Master,HR,Tier-3,34,4.5,0,1
22,136953.0,4,High School,Finance,Tier-2,60,4.3,0,0
47,102856.0,29,Master,Marketing,Tier-1,54,3.5,0,1
47,47376.0,31,Master,Finance,Tier-3,60,1.3,1,0
34,129049.0,7,PhD,Operations,Tier-1,49,1.4,0,1
64,75554.0,9,Master,IT,Tier-1,46,1.2,0,1
40,84772.0,37,PhD,Marketing,Tier-1,31,2.0,0,1
32,138533.0,31,PhD,Marketing,Tier-3,54,1.5,1,0
54,101412.0,27,Bachelor,Operations,Tier-2,42,2.0,1,0
38,70948.0,16,Master,Finance,Tier-2,68,2.5,0,0
31,93781.0,30,High School,IT,Tier-2,57,4.8,1,1
19,92750.0,7,Bachelor,Finance,Tier-1,35,3.4,1,1
28,86262.0,39,PhD,HR,Tier-3,32,4.3,1,0
56,137424.0,24,PhD,Finance,Tier-1,64,3.8,1,0
55,66600.0,8,High School,Marketing,Tier-2,47,1.5,1,1
51,96898.0,1,PhD,IT,Tier-2,40,3.9,0,0
55,82483.0,14,Master,Finance,Tier-3,49,2.1,0,1
51,38297.0,2,Bachelor,IT,Tier-1,34,3.6,0,0
35,50448.0,35,PhD,IT,Tier-2,48,2.4,1,0
47,46172.0,3,PhD,HR,Tier-3,51,5.0,1,0
32,62874.0,13,High School,HR,Tier-1,48,2.1,1,1
44,27657.0,24,Master,Marketing,Tier-1,45,2.1,1,1
51,104386.0,9,PhD,Operations,Tier-2,53,4.7,0,0
55,145617.0,20,High School,IT,Tier-2,33,1.1,0,1
50,45425.0,35,PhD,Operations,Tier-1,44,3.8,0,1
41,46685.0,11,High School,Marketing,Tier-1,54,3.9,0,1
32,142000.0,26,High School,IT,Tier-2,64,4.3,0,1
47,132855.0,39,Master,IT,Tier-1,43,4.9,0,0
59,44578.0,1,PhD,Operations,Tier-2,48,4.9,1,1
34,48831.0,12,Master,Finance,Tier-1,67,1.3,1,1
22,27906.0,31,High School,HR,Tier-2,65,4.3,0,0
46,81413.0,30,Bachelor,Finance,Tier-3,36,3.6,1,1
21,74028.0,15,PhD,Operations,Tier-2,59,3.6,0,1
27,27287.0,31,Bachelor,HR,Tier-2,48,1.5,0,1
34,53660.0,31,PhD,Finance,Tier-3,54,3.6,1,0
27,95758.0,33,Master,HR,Tier-1,45,2.9703157894736845,0,0
34,80504.0,10,Master,IT,Tier-3,69,4.6,0,1
37,79720.0,9,Master,Finance,Tier-2,37,2.8,0,1
41,122979.0,14,Master,HR,Tier-1,47,1.2,1,0
22,54701.0,16,Master,HR,Tier-3,57,2.4,1,0
51,84772.0,39,Bachelor,HR,Tier-1,45,4.3,1,0
23,130177.0,17,Master,Finance,Tier-1,48,3.8,1,1
19,37674.0,8,High School,Marketing,Tier-3,46,2.8,0,1
30,103560.0,24,High School,Finance,Tier-1,42,1.2,1,0
60,131543.0,39,Bachelor,Operations,Tier-3,36,2.7,1,1
60,43874.0,13,PhD,Finance,Tier-2,56,2.9,1,1
28,63642.0,24,High School,HR,Tier-1,39,4.7,0,1
64,143867.0,21,PhD,IT,Tier-2,63,3.6,1,1
40,117820.0,29,Bachelor,Finance,Tier-2,65,2.2,1,1
33,85160.0,19,PhD,Finance,Tier-1,54,3.1,0,1
48,37602.0,20,PhD,HR,Tier-3,35,1.3,0,1
28,123320.0,31,PhD,IT,Tier-1,53,4.9,0,0
33,84772.0,20,PhD,IT,Tier-2,47,2.4,0,0
25,45931.0,34,Bachelor,Operations,Tier-2,52,2.9,1,0
21,114377.0,31,High School,Finance,Tier-3,35,2.4,0,0
57,49192.0,29,Master,IT,Tier-1,58,3.7,1,0
21,66542.0,38,High School,IT,Tier-2,54,3.6,1,0
42,147015.0,11,High School,Marketing,Tier-2,46,3.9,1,0
20,84772.0,17,High School,Marketing,Tier-2,53,2.1,1,0
49,84772.0,20,Bachelor,IT,Tier-3,40,2.3,1,0
20,78762.0,12,High School,Operations,Tier-2,55,1.5,0,1
44,70106.0,20,Bachelor,IT,Tier-2,63,2.9703157894736845,1,1
46,101121.0,7,PhD,HR,Tier-1,57,1.2,1,0
49,45559.0,39,PhD,Finance,Tier-1,32,3.4,1,1
36,125595.0,6,Master,Operations,Tier-2,40,4.5,0,1
38,53742.0,22,Master,HR,Tier-2,67,4.6,1,0
22,89669.0,31,Master,Operations,Tier-1,43,2.8,1,0
35,100199.0,10,High School,HR,Tier-3,55,2.8,0,0
45,41754.0,21,High School,Finance,Tier-3,50,2.9703157894736845,1,1
59,23972.0,21,High School,Finance,Tier-3,68,3.7,1,1
